,X,CH1,CH2,CH3
164,2.5756e-05,-0.004,31.8,44.4
165,2.576e-05,-0.004,31.8,44.4
166,2.5764e-05,-0.004,31.8,44.4
167,2.5768e-05,-0.004,31.8,44.4
168,2.5772e-05,-0.004,31.8,44.4
169,2.5776000000000002e-05,-0.004,31.8,44.4
170,2.578e-05,-0.004,31.8,44.4
171,2.5784e-05,-0.004,31.8,44.36
172,2.5788e-05,-0.004,31.8,44.36
173,2.5792e-05,-0.004,31.8,44.36
174,2.5796000000000002e-05,-0.004,31.8,44.36
175,2.58e-05,-0.004,31.8,44.36
176,2.5804e-05,-0.0048000000000000004,31.8,44.36
177,2.5808e-05,-0.0048000000000000004,31.8,44.36
178,2.5812e-05,-0.0048000000000000004,31.8,44.36
179,2.5816e-05,-0.0048000000000000004,31.8,44.36
180,2.582e-05,-0.0048000000000000004,31.8,44.36
181,2.5824e-05,-0.0048000000000000004,31.8,44.4
182,2.5828e-05,-0.0048000000000000004,31.8,44.36
183,2.5832e-05,-0.0048000000000000004,31.8,44.36
184,2.5836e-05,-0.0048000000000000004,31.8,44.32000000000001
185,2.584e-05,-0.0048000000000000004,31.8,44.32
186,2.5844000000000002e-05,-0.004,31.8,44.32
187,2.5848e-05,-0.004,31.8,44.32
188,2.5852e-05,-0.004,31.8,44.32
189,2.5856e-05,-0.004,31.8,44.32
190,2.586e-05,-0.004,31.8,44.279999999999994
191,2.5864000000000002e-05,-0.004,31.8,44.28
192,2.5868e-05,-0.004,31.8,44.32
193,2.5872e-05,-0.004,31.8,44.31999999999999
194,2.5876e-05,-0.004,31.8,44.36
195,2.588e-05,-0.004,31.8,44.36
196,2.5884e-05,-0.004,31.8,44.32
197,2.5888e-05,-0.004,31.8,44.32
198,2.5892e-05,-0.004,31.8,44.32
199,2.5896e-05,-0.004,31.8,44.32
200,2.59e-05,-0.004,31.8,44.32
201,2.5904e-05,-0.004,31.8,44.32
202,2.5908e-05,-0.004,31.8,44.32
203,2.5912e-05,-0.004,31.8,44.279999999999994
204,2.5916e-05,-0.004,31.8,44.279999999999994
205,2.592e-05,-0.004,31.8,44.28
206,2.5924e-05,-0.004,31.8,44.32
207,2.5928e-05,-0.004,31.8,44.279999999999994
208,2.5932000000000002e-05,-0.004,31.8,44.239999999999995
209,2.5936e-05,-0.004,31.8,44.2
210,2.594e-05,-0.004,31.8,44.2
211,2.5944e-05,-0.004,31.8,44.2
212,2.5948e-05,-0.004,31.8,44.160000000000004
213,2.5952e-05,-0.004,31.8,44.160000000000004
214,2.5956e-05,-0.004,31.8,44.120000000000005
215,2.596e-05,-0.004,31.8,44.12
216,2.5964e-05,-0.004,31.8,44.12
217,2.5968e-05,-0.004,31.8,44.12
218,2.5972e-05,-0.004,31.8,44.12
219,2.5976e-05,-0.004,31.8,44.160000000000004
220,2.598e-05,-0.004,31.8,44.160000000000004
221,2.5984e-05,-0.004,31.8,44.12
222,2.5988e-05,-0.004,31.8,44.12
223,2.5992e-05,-0.004,31.8,44.12
224,2.5996e-05,-0.004,31.8,44.12
225,2.6000000000000002e-05,-0.004,31.8,44.08
226,2.6004e-05,-0.004,31.8,44.040000000000006
227,2.6008e-05,-0.004,31.8,44.040000000000006
228,2.6012e-05,-0.004,31.8,44.040000000000006
229,2.6016e-05,-0.004,31.8,44.0
230,2.602e-05,-0.004,31.8,44.0
231,2.6024e-05,-0.004,31.8,44.0
232,2.6028e-05,-0.0048000000000000004,31.8,44.0
233,2.6032e-05,-0.0048000000000000004,31.8,44.04
234,2.6036e-05,-0.0048000000000000004,31.8,44.04
235,2.604e-05,-0.0048000000000000004,31.8,44.04
236,2.6044e-05,-0.0048000000000000004,31.8,44.04
237,2.6048e-05,-0.0048000000000000004,31.8,44.04
238,2.6052e-05,-0.0048000000000000004,31.8,44.04
239,2.6056e-05,-0.0048000000000000004,31.8,44.04
240,2.606e-05,-0.0048000000000000004,31.8,44.04
241,2.6064e-05,-0.0048000000000000004,31.8,44.04
242,2.6068000000000002e-05,-0.004,31.8,44.04
243,2.6072e-05,-0.004,31.8,44.0
244,2.6076e-05,-0.004,31.8,44.0
245,2.608e-05,-0.004,31.8,44.0
246,2.6084e-05,-0.004,31.8,44.0
247,2.6088e-05,-0.004,31.8,44.0
248,2.6092e-05,-0.004,31.8,44.0
249,2.6096e-05,-0.004,31.8,44.0
250,2.61e-05,-0.004,31.8,44.0
251,2.6104e-05,-0.004,31.8,44.0
252,2.6108e-05,-0.004,31.8,44.0
253,2.6112e-05,-0.004,31.8,44.0
254,2.6116e-05,-0.004,31.8,44.0
255,2.612e-05,-0.004,31.8,44.0
256,2.6124e-05,-0.004,31.8,44.0
257,2.6128e-05,-0.004,31.8,44.0
258,2.6132e-05,-0.004,31.8,44.0
259,2.6136000000000002e-05,-0.004,31.8,44.0
260,2.614e-05,-0.004,31.8,44.0
261,2.6144e-05,-0.004,31.8,44.0
262,2.6148e-05,-0.004,31.8,44.0
263,2.6152e-05,-0.004,31.8,44.0
264,2.6156e-05,-0.004,31.8,44.0
265,2.616e-05,-0.004,31.8,44.0
266,2.6164e-05,-0.004,31.8,44.0
267,2.6168e-05,-0.004,31.8,44.0
268,2.6172e-05,-0.004,31.8,44.0
269,2.6176e-05,-0.004,31.8,44.0
270,2.618e-05,-0.004,31.8,44.0
271,2.6184e-05,-0.004,31.8,44.0
272,2.6188e-05,-0.004,31.8,44.0
273,2.6192e-05,-0.004,31.8,44.0
274,2.6196e-05,-0.004,31.8,44.0
275,2.62e-05,-0.004,31.8,44.0
276,2.6204000000000002e-05,-0.004,31.8,43.980000000000004
277,2.6208e-05,-0.004,31.8,43.980000000000004
278,2.6212e-05,-0.004,31.8,43.980000000000004
279,2.6216e-05,-0.004,31.8,43.980000000000004
280,2.622e-05,-0.004,31.8,43.980000000000004
281,2.6224e-05,-0.004,31.8,43.96
282,2.6228e-05,-0.004,31.8,43.96
283,2.6232e-05,-0.004,31.8,43.94
284,2.6236e-05,-0.004,31.8,43.92
285,2.624e-05,-0.004,31.8,43.92
286,2.6244e-05,-0.004,31.8,43.92
287,2.6248e-05,-0.004,31.8,43.9
288,2.6252e-05,-0.004,31.8,43.879999999999995
289,2.6256e-05,-0.004,31.8,43.879999999999995
290,2.626e-05,-0.004,31.8,43.879999999999995
291,2.6264e-05,-0.004,31.8,43.89999999999999
292,2.6268e-05,-0.004,31.8,43.879999999999995
293,2.6272000000000002e-05,-0.004,31.8,43.88
294,2.6276e-05,-0.004,31.8,43.9
295,2.628e-05,-0.004,31.8,43.88
296,2.6284e-05,-0.004,31.8,43.879999999999995
297,2.6288e-05,-0.004,31.8,43.89999999999999
298,2.6292000000000002e-05,-0.004,31.8,43.9
299,2.6296e-05,-0.004,31.8,43.9
300,2.63e-05,-0.004,31.8,43.88
301,2.6304e-05,-0.004,31.8,43.86
302,2.6308e-05,-0.004,31.8,43.86
303,2.6312e-05,-0.004,31.8,43.86
304,2.6316e-05,-0.004,31.8,43.839999999999996
305,2.632e-05,-0.004,31.8,43.839999999999996
306,2.6324e-05,-0.004,31.8,43.839999999999996
