,X,CH1,CH2
381,6.0599999999999996e-05,-0.016,31.2
382,6.0602e-05,-0.016,31.2
383,6.0604e-05,-0.008,31.2
384,6.0605999999999995e-05,-0.016,31.2
385,6.0608e-05,-0.016,31.2
386,6.061e-05,-0.016,31.2
387,6.0612e-05,-0.008,31.2
388,6.0614e-05,-0.016,31.2
389,6.0616e-05,-0.016,31.2
390,6.0618e-05,-0.016,31.2
391,6.062e-05,-0.008,31.2
392,6.0621999999999997e-05,-0.008,31.2
393,6.0624e-05,-0.016,31.2
394,6.0626e-05,-0.016,31.2
395,6.0627999999999996e-05,-0.008,31.2
396,6.063e-05,-0.016,31.2
397,6.0632e-05,-0.008,31.2
398,6.0633999999999996e-05,-0.016,31.2
399,6.0636e-05,-0.008,31.2
400,6.0638e-05,-0.016,31.2
401,6.0639999999999995e-05,-0.008,31.2
402,6.0642e-05,-0.016,31.2
403,6.0644e-05,-0.008,31.2
404,6.0646e-05,-0.008,31.2
405,6.0648e-05,-0.008,31.2
406,6.065e-05,-0.016,31.2
407,6.0652e-05,-0.008,31.2
408,6.0654e-05,-0.016,31.2
409,6.0655999999999997e-05,-0.008,31.2
410,6.0658e-05,-0.016,31.2
411,6.066e-05,-0.008,31.2
412,6.0661999999999996e-05,-0.016,31.2
413,6.0664e-05,-0.008,31.2
414,6.0666e-05,-0.016,31.2
415,6.0667999999999996e-05,-0.008,31.2
416,6.067e-05,-0.016,31.2
417,6.0672e-05,-0.008,31.2
418,6.0673999999999995e-05,-0.016,31.2
419,6.0676e-05,-0.008,31.2
420,6.0678e-05,-0.016,31.2
421,6.068e-05,-0.016,31.2
422,6.0682e-05,-0.016,31.2
423,6.0684e-05,-0.008,31.2
424,6.0686e-05,-0.008,31.2
425,6.0688e-05,-0.016,31.2
426,6.0689999999999997e-05,-0.016,31.2
427,6.0692e-05,-0.008,31.2
428,6.0694e-05,-0.016,31.2
429,6.0695999999999996e-05,-0.016,31.2
430,6.0698e-05,-0.008,31.2
431,6.07e-05,-0.008,31.2
432,6.0701999999999996e-05,-0.016,31.2
