,X,CH1,CH2
369,6.0478e-05,0.008,25.6
370,6.0480000000000004e-05,0.024,25.6
371,6.0482e-05,0.048,24.0
372,6.0484e-05,0.048,24.0
373,6.0486e-05,0.072,24.0
374,6.0488e-05,0.072,24.0
375,6.049e-05,0.088,24.0
376,6.0492e-05,0.088,25.6
377,6.0494e-05,0.088,25.6
378,6.0496e-05,0.08,26.4
379,6.0498e-05,0.088,28.0
380,6.05e-05,0.072,28.8
381,6.0502e-05,0.056,29.6
382,6.0504e-05,0.04,30.4
383,6.0506e-05,0.04,32.0
384,6.0508e-05,0.016,32.8
385,6.051e-05,0.008,34.4
386,6.0512e-05,-0.008,35.2
387,6.0514000000000004e-05,-0.024,36.0
388,6.0516e-05,-0.04,37.6
389,6.0518e-05,-0.056,38.4
390,6.052e-05,-0.072,38.4
391,6.0522e-05,-0.08,39.2
392,6.0524e-05,-0.096,39.2
393,6.0526e-05,-0.096,38.4
394,6.0528e-05,-0.104,38.4
395,6.053e-05,-0.104,37.6
396,6.0532e-05,-0.112,36.0
397,6.0534e-05,-0.104,35.2
398,6.0536e-05,-0.096,34.4
399,6.0538e-05,-0.088,33.6
400,6.054e-05,-0.08,32.0
401,6.0542e-05,-0.064,31.2
402,6.0544e-05,-0.056,30.4
403,6.0546e-05,-0.032,28.8
404,6.0548000000000004e-05,-0.024,28.0
405,6.055e-05,-0.008,27.2
406,6.0552e-05,0.0,27.2
407,6.0554e-05,0.016,26.4
408,6.0556e-05,0.024,26.4
409,6.0558e-05,0.04,25.6
410,6.056e-05,0.048,25.6
411,6.0562e-05,0.056,25.6
412,6.0564e-05,0.056,25.6
413,6.0566e-05,0.072,26.4
414,6.0568e-05,0.056,27.2
415,6.057e-05,0.08,27.2
416,6.0572e-05,0.056,28.0
417,6.0574e-05,0.056,28.8
418,6.0576e-05,0.048,29.6
419,6.0578e-05,0.04,30.4
420,6.058e-05,0.032,31.2
421,6.0582000000000004e-05,0.016,32.0
422,6.0584e-05,0.008,33.6
423,6.0586e-05,0.0,34.4
424,6.0588e-05,-0.016,35.2
425,6.059e-05,-0.032,35.2
426,6.0592e-05,-0.048,36.0
427,6.0594e-05,-0.056,37.6
428,6.0596e-05,-0.064,37.6
429,6.0598e-05,-0.072,37.6
430,6.06e-05,-0.08,37.6
431,6.0602e-05,-0.08,37.6
432,6.0604e-05,-0.088,36.0
433,6.0606e-05,-0.088,35.2
434,6.0608e-05,-0.088,35.2
435,6.061e-05,-0.08,34.4
436,6.0612e-05,-0.08,32.8
437,6.0614e-05,-0.072,32.0
438,6.0616000000000004e-05,-0.056,31.2
439,6.0618e-05,-0.048,30.4
440,6.062e-05,-0.04,29.6
441,6.0622e-05,-0.024,28.8
442,6.0624e-05,-0.016,28.8
443,6.0626e-05,0.0,28.0
444,6.0628e-05,0.008,27.2
445,6.063e-05,0.016,27.2
446,6.0632e-05,0.024,27.2
447,6.0634e-05,0.04,27.2
448,6.0636e-05,0.04,26.4
449,6.0638e-05,0.048,27.2
450,6.064e-05,0.048,27.2
451,6.0642e-05,0.056,27.2
452,6.0644e-05,0.048,28.0
453,6.0646e-05,0.048,28.8
454,6.0648e-05,0.04,28.8
455,6.0650000000000004e-05,0.048,29.6
456,6.0652e-05,0.032,30.4
457,6.0654e-05,0.024,31.2
458,6.0656e-05,0.016,32.0
459,6.0658e-05,0.016,32.8
460,6.066e-05,-0.008,33.6
461,6.0662e-05,-0.016,33.6
462,6.0664e-05,-0.024,34.4
463,6.0666e-05,-0.032,35.2
464,6.0668e-05,-0.04,35.2
465,6.067e-05,-0.048,35.2
466,6.0672e-05,-0.056,36.0
467,6.0674e-05,-0.056,36.0
468,6.0676e-05,-0.072,35.2
469,6.0678e-05,-0.072,35.2
470,6.068e-05,-0.072,34.4
471,6.0682e-05,-0.072,34.4
472,6.0684000000000004e-05,-0.072,33.6
473,6.0686e-05,-0.064,32.8
474,6.0688e-05,-0.064,32.8
475,6.069e-05,-0.048,32.0
476,6.0692e-05,-0.048,31.2
477,6.0694e-05,-0.032,30.4
478,6.0696e-05,-0.032,29.6
479,6.0698e-05,-0.016,28.8
480,6.07e-05,-0.008,28.8
481,6.0702e-05,0.0,28.0
482,6.0704e-05,0.008,28.0
483,6.0706e-05,0.024,28.0
484,6.0708e-05,0.024,27.2
485,6.071e-05,0.032,27.2
486,6.0712e-05,0.032,28.0
487,6.0714e-05,0.04,28.0
488,6.0716e-05,0.04,28.0
489,6.0718000000000004e-05,0.04,28.0
490,6.072e-05,0.032,28.8
491,6.0722e-05,0.04,29.6
492,6.0724000000000003e-05,0.032,29.6
493,6.0726e-05,0.032,30.4
494,6.0728e-05,0.016,31.2
495,6.073e-05,0.016,31.2
496,6.0732e-05,0.008,32.0
497,6.0734e-05,0.0,32.8
498,6.0736e-05,-0.008,33.6
499,6.0738e-05,-0.016,33.6
500,6.074e-05,-0.024,34.4
501,6.0742e-05,-0.04,34.4
502,6.0744e-05,-0.048,34.4
503,6.0746e-05,-0.048,35.2
504,6.0748e-05,-0.056,35.2
505,6.075e-05,-0.056,34.4
506,6.0752000000000004e-05,-0.064,34.4
507,6.0754e-05,-0.056,34.4
508,6.0756e-05,-0.064,33.6
509,6.0758000000000003e-05,-0.064,33.6
510,6.076e-05,-0.064,32.8
511,6.0762e-05,-0.048,32.8
512,6.0764e-05,-0.048,32.0
513,6.0766e-05,-0.04,31.2
