,X,CH1,CH2,I
186,-1.9228e-05,0.045,20.5,0.9040000000000001
187,-1.9226e-05,0.043,20.9,0.9279999999999999
188,-1.9223999999999998e-05,0.035,21.1,0.9199999999999999
189,-1.9222e-05,0.031,21.5,0.892
190,-1.922e-05,0.025,21.9,0.8560000000000001
191,-1.9217999999999998e-05,0.017,22.5,0.792
192,-1.9216e-05,0.009,22.7,0.712
193,-1.9214e-05,0.003,23.5,0.6120000000000001
194,-1.9212e-05,-0.003,23.9,0.508
195,-1.9209999999999997e-05,-0.013,24.5,0.384
196,-1.9208e-05,-0.021,25.1,0.25200000000000006
197,-1.9206e-05,-0.031,25.5,0.10400000000000005
198,-1.9203999999999998e-05,-0.035,25.9,-0.03599999999999996
199,-1.9202e-05,-0.041,26.7,-0.17999999999999997
200,-1.92e-05,-0.045,27.1,-0.31999999999999995
201,-1.9197999999999998e-05,-0.047,27.3,-0.44799999999999995
202,-1.9195999999999997e-05,-0.049,27.3,-0.5639999999999998
203,-1.9194e-05,-0.051,27.7,-0.6719999999999999
204,-1.9192e-05,-0.053,27.7,-0.7719999999999999
205,-1.9189999999999998e-05,-0.053,27.7,-0.852
206,-1.9188e-05,-0.047,27.5,-0.9039999999999999
207,-1.9186e-05,-0.043,27.5,-0.9279999999999997
208,-1.9183999999999998e-05,-0.041,27.3,-0.9399999999999998
209,-1.9182e-05,-0.035,26.9,-0.9279999999999997
210,-1.918e-05,-0.029,26.3,-0.8959999999999999
211,-1.9178e-05,-0.025,25.7,-0.8519999999999998
212,-1.9175999999999997e-05,-0.019,25.5,-0.7919999999999999
213,-1.9174e-05,-0.011,24.9,-0.712
214,-1.9172e-05,-0.003,24.5,-0.6119999999999999
215,-1.9169999999999998e-05,0.005,24.1,-0.4959999999999999
216,-1.9168e-05,0.007,23.7,-0.38799999999999996
217,-1.9166e-05,0.015,22.9,-0.27199999999999996
218,-1.9163999999999998e-05,0.021,22.5,-0.14799999999999996
219,-1.9161999999999997e-05,0.029,22.1,-0.019999999999999952
220,-1.916e-05,0.031,21.9,0.10000000000000005
221,-1.9158e-05,0.033,21.5,0.21600000000000005
222,-1.9155999999999998e-05,0.037,21.3,0.328
223,-1.9154e-05,0.041,21.3,0.43200000000000005
224,-1.9152e-05,0.037,21.1,0.512
225,-1.9149999999999998e-05,0.039,21.1,0.58
226,-1.9148e-05,0.039,21.1,0.644
227,-1.9146e-05,0.037,21.1,0.688
228,-1.9144e-05,0.035,21.3,0.716
229,-1.9141999999999997e-05,0.031,21.5,0.72
230,-1.914e-05,0.029,21.9,0.716
231,-1.9138e-05,0.021,22.1,0.692
232,-1.9135999999999998e-05,0.015,22.5,0.648
233,-1.9134e-05,0.011,22.7,0.588
234,-1.9132e-05,0.005,23.3,0.524
235,-1.9129999999999998e-05,-0.001,23.7,0.44400000000000006
236,-1.9127999999999997e-05,-0.009,24.1,0.34800000000000003
237,-1.9126e-05,-0.013,24.5,0.24800000000000005
238,-1.9124e-05,-0.019,24.9,0.14000000000000004
239,-1.9121999999999998e-05,-0.025,25.3,0.028000000000000046
240,-1.912e-05,-0.031,25.9,-0.09199999999999994
241,-1.9118e-05,-0.033,26.3,-0.19999999999999996
242,-1.9115999999999998e-05,-0.035,26.3,-0.3
243,-1.9114e-05,-0.039,26.7,-0.39999999999999997
244,-1.9112e-05,-0.041,26.9,-0.492
245,-1.9109999999999998e-05,-0.043,26.9,-0.5759999999999998
246,-1.9107999999999997e-05,-0.041,26.9,-0.6399999999999999
247,-1.9106e-05,-0.039,27.1,-0.692
248,-1.9104e-05,-0.039,26.9,-0.732
249,-1.9101999999999998e-05,-0.037,26.7,-0.7559999999999999
250,-1.91e-05,-0.031,26.3,-0.7559999999999999
251,-1.9098e-05,-0.027,26.3,-0.7439999999999999
252,-1.9095999999999998e-05,-0.027,25.7,-0.7279999999999999
253,-1.9093999999999997e-05,-0.019,25.5,-0.688
254,-1.9092e-05,-0.013,25.1,-0.6319999999999999
255,-1.909e-05,-0.007,24.7,-0.5599999999999999
256,-1.9087999999999997e-05,-0.003,24.3,-0.4839999999999999
257,-1.9086e-05,0.001,23.9,-0.4039999999999999
258,-1.9084e-05,0.009,23.5,-0.30799999999999994
259,-1.9081999999999998e-05,0.013,23.3,-0.2079999999999999
260,-1.908e-05,0.015,22.7,-0.11599999999999992
261,-1.9078e-05,0.019,22.5,-0.023999999999999955
262,-1.9075999999999998e-05,0.021,22.1,0.07200000000000004
263,-1.9073999999999997e-05,0.029,22.1,0.168
264,-1.9072e-05,0.029,21.9,0.252
265,-1.907e-05,0.031,21.7,0.328
266,-1.9067999999999998e-05,0.031,21.7,0.396
267,-1.9066e-05,0.033,21.7,0.4600000000000001
268,-1.9064e-05,0.029,21.7,0.5000000000000001
269,-1.9061999999999998e-05,0.029,21.7,0.532
270,-1.9059999999999997e-05,0.027,21.9,0.5559999999999999
