,X,CH1,CH2,I
259,1.2018e-05,-0.016,17.6,-0.32
260,1.202e-05,-0.016,17.6,-0.32
261,1.2022e-05,-0.016,17.6,-0.32
262,1.2024e-05,-0.016,17.6,-0.32
263,1.2026e-05,-0.016,17.6,-0.32
264,1.2028e-05,-0.016,17.6,-0.32
265,1.203e-05,-0.016,16.8,-0.32
266,1.2032e-05,-0.016,16.8,-0.32
267,1.2034e-05,-0.016,16.8,-0.32
268,1.2036e-05,-0.016,16.8,-0.32
269,1.2038e-05,-0.016,16.8,-0.32
270,1.204e-05,-0.016,16.0,-0.32
271,1.2042000000000001e-05,-0.016,16.8,-0.32
272,1.2044e-05,-0.016,16.8,-0.32
273,1.2046e-05,-0.016,16.0,-0.32
274,1.2048e-05,-0.016,16.0,-0.32
275,1.205e-05,-0.016,16.0,-0.32
276,1.2052e-05,-0.016,16.0,-0.32
277,1.2054e-05,-0.016,16.0,-0.32
278,1.2056e-05,-0.016,15.2,-0.32
279,1.2058e-05,-0.016,16.0,-0.32
280,1.206e-05,-0.016,16.0,-0.32
281,1.2062e-05,-0.016,15.2,-0.32
282,1.2064e-05,-0.016,15.2,-0.32
283,1.2066e-05,-0.016,15.2,-0.32
284,1.2068e-05,-0.016,15.2,-0.32
285,1.207e-05,-0.016,15.2,-0.32
286,1.2072e-05,-0.016,15.2,-0.32
287,1.2074e-05,-0.016,15.2,-0.32
288,1.2076000000000001e-05,-0.008,15.2,-0.16
289,1.2078e-05,-0.016,15.2,-0.32
290,1.208e-05,-0.016,14.4,-0.32
291,1.2082e-05,-0.016,15.2,-0.32
292,1.2084e-05,-0.016,14.4,-0.32
293,1.2086e-05,-0.016,14.4,-0.32
294,1.2088e-05,-0.016,14.4,-0.32
295,1.209e-05,-0.016,14.4,-0.32
296,1.2092e-05,-0.016,14.4,-0.32
297,1.2094e-05,-0.008,14.4,-0.16
298,1.2096e-05,-0.016,14.4,-0.32
299,1.2098e-05,-0.016,14.4,-0.32
300,1.21e-05,-0.016,14.4,-0.32
301,1.2102e-05,-0.016,13.6,-0.32
302,1.2104e-05,-0.016,13.6,-0.32
303,1.2106e-05,-0.016,13.6,-0.32
304,1.2108e-05,-0.016,13.6,-0.32
305,1.2110000000000001e-05,-0.016,13.6,-0.32
306,1.2112e-05,-0.016,13.6,-0.32
307,1.2114e-05,-0.016,13.6,-0.32
308,1.2116e-05,-0.008,13.6,-0.16
309,1.2118e-05,-0.008,13.6,-0.16
310,1.212e-05,-0.016,12.0,-0.32
311,1.2122e-05,-0.016,13.6,-0.32
312,1.2124e-05,-0.016,13.6,-0.32
313,1.2126e-05,-0.016,13.6,-0.32
314,1.2128e-05,-0.016,12.0,-0.32
315,1.213e-05,-0.016,12.0,-0.32
316,1.2132e-05,-0.008,12.0,-0.16
317,1.2134e-05,-0.016,12.0,-0.32
